GENDER,CUST_ACCOUNT_CNT,CUST_SAVING_AMT,CUST_ASSET_AMT,CUST_DEBT_AMT,CUST_ACCOUNT_OPEN_CNT,OCN,age,INV-OR
1,18,444836.17,692472.15,0,118,4,51,0
2,34,1940264.01,1940264.01,220403.03,36,2,47,0
2,12,799782.62,12388909.47,0,31,4,55,1
2,6,1006.72,1006.72,0,7,2,40,0
2,27,87179.95,96028.75,4112466.94,78,4,37,0
2,29,358063.44,358063.44,1264924.75,58,4,40,0
2,18,136295.04,136295.04,646148.19,63,4,45,0
2,16,82026.57,3844686.47,0,32,2,40,0
1,24,422446.55,445781.84,0,65,8,37,1
2,8,1439951.34,2040465.37,3267449.17,9,3,36,1
2,34,95455.25,115545.77,1353226.29,84,4,39,0
2,21,376284.43,376284.43,0,64,8,66,0
1,6,59702.88,59702.88,0,6,0,66,0
2,28,1438165.12,1447052.17,698562.28,63,2,40,0
1,18,621574.21,634908.55,0,67,1,48,1
1,6,3584.3,3584.3,81195.16,6,2,45,0
1,15,364345.32,406431.97,2404459.44,33,2,48,0
1,16,227843.33,227843.33,632692.6,95,8,41,0
2,28,730513.25,887494.3,8535293.44,230,2,51,0
2,6,1354.93,1354.93,0,16,2,64,0
1,7,60189.67,60189.67,2177447.8,41,4,37,0
1,2,1529.59,1529.59,371421.51,2,3,42,0
1,9,1438.86,134403.93,0,20,3,72,1
1,1,3295.14,3295.14,0,1,0,45,0
1,7,138.91,138.91,0,14,3,56,0
1,5,70177.28,318911.09,0,5,0,56,1
2,13,644263.77,644263.77,0,42,8,44,0
1,2,12110.16,12110.16,0,2,0,51,0
1,6,45927.31,45927.31,0,14,4,45,0
2,24,174814.42,185912.38,0,82,3,40,0
2,8,13653.33,15182.74,370008.3,12,8,41,0
1,3,461350.42,461350.42,3007250,3,8,40,0
2,16,2811.25,117531,554942.15,29,3,44,0
2,4,38232.67,213201.71,0,12,4,37,1
1,7,355573.58,355573.58,0,7,1,53,0
1,7,75235.75,75235.75,0,8,0,46,0
2,16,488856.68,2474925.96,0,70,1,40,1
2,1,3163.79,3163.79,0,1,0,36,0
2,20,189430.77,707531.42,326494.31,45,3,55,1
2,13,505976.8,513276.8,0,29,8,53,0
1,3,28383.34,28383.34,0,3,0,39,0
1,1,9518.3,9518.3,0,1,3,43,0
1,11,71680.14,71680.14,0,22,8,53,0
2,3,1960.88,1960.88,0,4,4,42,0
2,1,800.78,800.78,0,1,0,51,0
2,17,10956065.11,35897127.21,0,21,3,59,1
1,2,1637.83,1637.83,0,2,0,42,0
2,12,484219.96,888045.99,887584.56,22,2,54,1
2,43,66860.27,726140.75,0,160,3,40,1
2,1,80000,80000,0,5,8,59,0
2,6,1423359.45,1857231.39,0,141,3,54,1
2,4,80002.99,80002.99,0,16,0,65,0
1,10,7940.68,9401937.5,0,24,0,65,1
2,32,11683.63,72596.37,0,75,2,36,0
2,8,21325.1,21325.1,0,31,8,75,0
2,3,692547.09,692547.09,0,15,0,60,0
1,7,1392.95,1392.95,0,15,3,50,0
2,14,136081,203653.93,0,55,3,43,1
2,7,6978.46,6978.46,0,11,0,41,0
